Date : 2024-09-21 10:15:44
Directory : c:\Users\chait\Desktop\Anki-auto
Total : 107 files,  12391 codes, 577 comments, 1631 blanks, all 14599 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| processing_ocr\Real-ESRGAN\realesrgan\data                                                                              |          3 |        231 |         41 |         41 |        313 |
| processing_ocr\Real-ESRGAN\realesrgan\models                                                                            |          3 |        335 |         77 |         47 |        459 |
| processing_ocr\Real-ESRGAN\scripts                                                                                      |          5 |        263 |         13 |         55 |        331 |
| processing_ocr\Real-ESRGAN\tests                                                                                        |          8 |        448 |         81 |         93 |        622 |
| processing_ocr\Real-ESRGAN\tests (Files)                                                                                |          4 |        268 |         61 |         58 |        387 |
| processing_ocr\Real-ESRGAN\tests\data                                                                                   |          4 |        180 |         20 |         35 |        235 |
| processing_ocr\manga_ocr_master                                                                                         |         40 |      7,388 |         30 |        445 |      7,863 |
| processing_ocr\manga_ocr_master (Files)                                                                                 |          3 |        113 |          3 |         42 |        158 |
| processing_ocr\manga_ocr_master\.github                                                                                 |          4 |        141 |          3 |         21 |        165 |
| processing_ocr\manga_ocr_master\.github (Files)                                                                         |          1 |          1 |          0 |          1 |          2 |
| processing_ocr\manga_ocr_master\.github\workflows                                                                       |          3 |        140 |          3 |         20 |        163 |
| processing_ocr\manga_ocr_master\assets                                                                                  |          4 |      5,711 |          0 |          4 |      5,715 |
| processing_ocr\manga_ocr_master\manga_ocr                                                                               |          5 |        159 |          5 |         55 |        219 |
| processing_ocr\manga_ocr_master\manga_ocr_dev                                                                           |         20 |      1,188 |         19 |        304 |      1,511 |
| processing_ocr\manga_ocr_master\manga_ocr_dev (Files)                                                                   |          4 |        112 |          0 |         24 |        136 |
| processing_ocr\manga_ocr_master\manga_ocr_dev\data                                                                      |          3 |        149 |          0 |         45 |        194 |
| processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator                                                  |          7 |        611 |         13 |        159 |        783 |
| processing_ocr\manga_ocr_master\manga_ocr_dev\training                                                                  |          6 |        316 |          6 |         76 |        398 |
| processing_ocr\manga_ocr_master\tests                                                                                   |          4 |         76 |          0 |         19 |         95 |
| processing_ocr\manga_ocr_master\tests (Files)                                                                           |          3 |         26 |          0 |         19 |         45 |
| processing_ocr\manga_ocr_master\tests\data                                                                              |          1 |         50 |          0 |          0 |         50 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\chait\Desktop\Anki-auto\Readme.md                                                                              | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\configs\args_akane.json                                                                | JSON             |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\main.py                                                                                | Python           |          5 |          3 |          6 |         14 |
| c:\Users\chait\Desktop\Anki-auto\processing_anki\__init__.py                                                            | Python           |         24 |         11 |          5 |         40 |
| c:\Users\chait\Desktop\Anki-auto\processing_anki\anki_card.py                                                           | Python           |         65 |          1 |         13 |         79 |
| c:\Users\chait\Desktop\Anki-auto\processing_anki\fields.py                                                              | Python           |         51 |          2 |          7 |         60 |
| c:\Users\chait\Desktop\Anki-auto\processing_anki\text_processing.py                                                     | Python           |         91 |         12 |         17 |        120 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.github\workflows\publish-pip.yml                           | YAML             |         30 |          0 |          4 |         34 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.github\workflows\pylint.yml                                | YAML             |         24 |          1 |          7 |         32 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.github\workflows\release.yml                               | YAML             |         35 |          0 |          7 |         42 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.pre-commit-config.yaml                                     | YAML             |         35 |          6 |          6 |         47 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\CODE_OF_CONDUCT.md                                          | Markdown         |         93 |          0 |         36 |        129 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\README.md                                                   | Markdown         |        193 |          0 |         80 |        273 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\README_CN.md                                                | Markdown         |        194 |          0 |         83 |        277 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\cog.yaml                                                    | YAML             |         19 |          1 |          3 |         23 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\cog_predict.py                                              | Python           |        124 |          7 |         18 |        149 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\CONTRIBUTING.md                                        | Markdown         |         32 |          0 |         13 |         45 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\FAQ.md                                                 | Markdown         |          7 |          0 |          4 |         11 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\Training.md                                            | Markdown         |        204 |          0 |         68 |        272 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\Training_CN.md                                         | Markdown         |        204 |          0 |         68 |        272 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_comparisons.md                                   | Markdown         |         49 |          0 |         18 |         67 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_comparisons_CN.md                                | Markdown         |         48 |          0 |         21 |         69 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_model.md                                         | Markdown         |         48 |          0 |         21 |         69 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_video_model.md                                   | Markdown         |         95 |          0 |         42 |        137 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\feedback.md                                            | Markdown         |          8 |          0 |          4 |         12 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\model_zoo.md                                           | Markdown         |         34 |          0 |         16 |         50 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\ncnn_conversion.md                                     | Markdown         |         10 |          0 |          2 |         12 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\inference.sh                                                | Shell Script     |          1 |          1 |          0 |          2 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\inference_realesrgan.py                                     | Python           |        147 |          6 |         17 |        170 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\inference_realesrgan_video.py                               | Python           |        335 |          7 |         57 |        399 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\finetune_realesrgan_x4plus.yml                      | YAML             |        130 |         35 |         24 |        189 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\finetune_realesrgan_x4plus_pairdata.yml             | YAML             |        100 |         32 |         19 |        151 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrgan_x2plus.yml                         | YAML             |        128 |         35 |         24 |        187 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrgan_x4plus.yml                         | YAML             |        127 |         35 |         24 |        186 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrnet_x2plus.yml                         | YAML             |         94 |         30 |         22 |        146 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrnet_x4plus.yml                         | YAML             |         93 |         30 |         22 |        145 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\__init__.py                                      | Python           |          5 |          1 |          1 |          7 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\__init__.py                                | Python           |          6 |          3 |          2 |         11 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\discriminator_arch.py                      | Python           |         48 |          7 |         13 |         68 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\srvgg_arch.py                              | Python           |         52 |          7 |         11 |         70 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\__init__.py                                 | Python           |          6 |          3 |          2 |         11 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\realesrgan_dataset.py                       | Python           |        147 |         24 |         22 |        193 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\realesrgan_paired_dataset.py                | Python           |         78 |         14 |         17 |        109 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\__init__.py                               | Python           |          6 |          3 |          2 |         11 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\realesrgan_model.py                       | Python           |        191 |         41 |         27 |        259 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\realesrnet_model.py                       | Python           |        138 |         33 |         18 |        189 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\train.py                                         | Python           |          8 |          1 |          3 |         12 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\utils.py                                         | Python           |        244 |         24 |         46 |        314 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\requirements.txt                                            | pip requirements |          9 |          0 |          1 |         10 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\extract_subimages.py                                | Python           |        112 |          2 |         22 |        136 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\generate_meta_info.py                               | Python           |         49 |          2 |          8 |         59 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\generate_meta_info_pairdata.py                      | Python           |         39 |          2 |          9 |         50 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\generate_multiscale_DF2K.py                         | Python           |         37 |          3 |          9 |         49 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\pytorch2onnx.py                                     | Python           |         26 |          4 |          7 |         37 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\setup.cfg                                                   | Properties       |         26 |          2 |          6 |         34 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\setup.py                                                    | Python           |         81 |          4 |         23 |        108 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrgan_dataset.yml                      | YAML             |         24 |          0 |          5 |         29 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrgan_model.yml                        | YAML             |         89 |         12 |         15 |        116 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrgan_paired_dataset.yml               | YAML             |         12 |          0 |          2 |         14 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrnet_model.yml                        | YAML             |         55 |          8 |         13 |         76 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_dataset.py                                       | Python           |        102 |         26 |         24 |        152 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_discriminator_arch.py                            | Python           |         12 |          2 |          6 |         20 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_model.py                                         | Python           |         92 |         20 |         15 |        127 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_utils.py                                         | Python           |         62 |         13 |         13 |         88 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\__init__.py                                                             | Python           |         77 |          8 |         12 |         97 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\image_processing.py                                                     | Python           |        281 |         20 |         49 |        350 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\FUNDING.yml                                    | YAML             |          1 |          0 |          1 |          2 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\workflows\main.yml                             | YAML             |         25 |          0 |          8 |         33 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\workflows\publish-to-pypi.yml                  | YAML             |        107 |          3 |         12 |        122 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\workflows\ruff.yml                             | YAML             |          8 |          0 |          0 |          8 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\README.md                                              | Markdown         |        102 |          0 |         38 |        140 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\__init__.py                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\fonts.csv                                       | CSV              |          3 |          0 |          1 |          4 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\len_to_p.csv                                    | CSV              |        251 |          0 |          1 |        252 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\lines_example.csv                               | CSV              |          6 |          0 |          1 |          7 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\vocab.csv                                       | CSV              |      5,451 |          0 |          1 |      5,452 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\main.py                                                | Python           |         11 |          3 |          3 |         17 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\__init__.py                                  | Python           |          1 |          1 |          1 |          3 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\__main__.py                                  | Python           |          6 |          0 |          6 |         12 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\_version.py                                  | Python           |          1 |          0 |          1 |          2 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\ocr.py                                       | Python           |         48 |          0 |         14 |         62 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\run.py                                       | Python           |        103 |          4 |         33 |        140 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\README.md                                | Markdown         |         80 |          0 |         19 |         99 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\__init__.py                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\data\__init__.py                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\data\generate_backgrounds.py             | Python           |         64 |          0 |         23 |         87 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\data\process_manga109s.py                | Python           |         85 |          0 |         21 |        106 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\env.py                                   | Python           |          7 |          0 |          3 |         10 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\requirements.txt                         | pip requirements |         25 |          0 |          1 |         26 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\README.md       | Markdown         |         29 |          0 |          9 |         38 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\__init__.py     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\generator.py    | Python           |        162 |          4 |         37 |        203 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\renderer.py     | Python           |        279 |          9 |         57 |        345 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\run_generate.py | Python           |         50 |          0 |         17 |         67 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\scan_fonts.py   | Python           |         51 |          0 |         21 |         72 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\utils.py        | Python           |         40 |          0 |         17 |         57 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\__init__.py                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\dataset.py                      | Python           |        153 |          1 |         32 |        186 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\get_model.py                    | Python           |         53 |          3 |         16 |         72 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\metrics.py                      | Python           |         25 |          0 |          8 |         33 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\train.py                        | Python           |         51 |          2 |         12 |         65 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\utils.py                        | Python           |         34 |          0 |          7 |         41 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\data\expected_results.json                       | JSON             |         50 |          0 |          0 |         50 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\generate_expected_results.py                     | Python           |         16 |          0 |         11 |         27 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\test_ocr.py                                      | Python           |         10 |          0 |          7 |         17 |
| c:\Users\chait\Desktop\Anki-auto\processing_ocr\ocr.py                                                                  | Python           |         12 |          3 |          3 |         18 |
| Total                                                                                                                   |                  |     12,391 |        577 |      1,631 |     14,599 |
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
